cliente;ciudad;valor;tipo.cliente;forma de pago;dias de 1;descuentos especiales
10042;8;50.25;13;1;2;2
10081;11;184.98;4;1;3;1
10099;8;181.63;4;1;3;1
10104;2;103.63;7;1;3;1
10108;5;53.44;12;1;2;2
10139;6;190.82;4;1;3;1
10141;6;85.13;7;1;2;2
10177;9;49.3;13;2;1;1
10184;11;130.95;13;1;3;1
10203;15;82.91;11;1;2;2
10242;19;19.92;11;2;1;1
10243;19;22.32;13;2;1;1
10271;18;84.41;4;1;2;2
10299;11;21.58;13;2;1;1
10317;12;47.62;4;2;1;1
10386;2;101.67;13;1;3;1
10462;11;81.96;6;1;2;2
10518;11;56.22;13;1;2;2
10618;16;51.53;2;1;2;2
10623;11;60.97;4;1;2;2
10675;1;41.66;13;2;1;1
10677;9;44.22;1;2;1;1
10690;6;9.2;13;2;1;1
10764;19;30.21;10;2;1;1
10879;9;4.16;1;2;1;1
10880;8;63.37;5;1;2;2
10993;18;186.37;8;1;3;1
11028;19;17.31;13;2;1;1
11054;1;12.97;13;2;1;1
11156;18;74.26;13;1;2;2
11203;9;41.13;4;2;1;1
11216;7;64.48;5;1;2;2
11224;16;34.01;2;2;1;1
11226;18;222.1;10;1;3;1
11243;3;22.09;2;2;1;1
11253;3;17.99;13;2;1;1
11308;9;148.85;4;1;3;1
11336;5;77.48;13;1;2;2
11359;9;153.78;4;1;3;1
11405;15;204.33;1;1;3;1
11476;11;365.8;1;1;3;1
11546;11;45.3;13;2;1;1
11573;5;19.09;13;2;1;1
11575;15;77.21;10;1;2;2
11683;6;219.73;13;1;3;1
11703;19;42.45;4;2;1;1
11751;19;30.21;13;2;1;1
11763;1;100.88;4;1;3;1
11838;1;138.43;2;1;3;1
11941;11;26.3;13;2;1;1
11973;18;121.25;12;1;3;1
11991;19;105.09;4;1;3;1
12020;6;188.35;12;1;3;1
12032;19;127.58;4;1;3;1
12068;19;377.15;13;1;3;1
12088;3;22.33;13;2;1;1
12104;19;82.07;4;1;2;2
12125;3;237;1;1;3;1
12157;2;280.74;4;1;3;1
12168;11;434.14;1;1;3;1
12712;8;417.96;4;1;3;1
12769;5;52.8;2;1;2;2
12781;11;170.61;13;1;3;1
12802;18;56.33;13;1;2;2
12818;11;27.05;13;2;1;1
12832;18;57.81;13;1;2;2
12872;19;19.33;13;2;1;1
12889;11;9.08;13;2;1;1
12939;19;94.49;7;1;2;2
12975;18;248.21;6;1;3;1
13050;2;105.23;7;1;3;1
13061;5;27.42;13;2;1;1
13066;6;40.94;13;2;1;1
13095;11;17.02;13;2;1;1
13166;19;69.4;6;1;2;2
13169;19;269.19;4;1;3;1
13203;19;22.01;4;2;1;1
13205;19;49.93;7;2;1;1
13207;5;9.29;13;2;1;1
13278;6;105.13;6;1;3;1
13283;18;80.8;4;1;2;2
13287;16;23.68;13;2;1;1
13291;11;18.76;13;2;1;1
13356;11;10.01;13;2;1;1
13373;6;659.32;4;1;3;1
13375;6;18.15;13;2;1;1
13377;6;7.07;13;2;1;1
13390;16;18.51;13;2;1;1
13394;3;151.52;5;1;3;1
13448;14;90.3;13;1;2;2
13451;18;77.45;6;1;2;2
13460;8;104.53;4;1;3;1
13471;16;47.57;6;2;1;1
13498;5;44.63;4;2;1;1
13541;11;70.06;4;1;2;2
13545;8;87.48;11;1;2;2
13548;15;92.19;13;1;2;2
13594;4;90.4;1;1;2;2
13605;6;12;13;2;1;1
13675;6;17.08;13;2;1;1
13678;8;64.94;4;1;2;2
13759;3;234.41;1;1;3;1
13772;1;184.57;1;1;3;1
13779;11;71.1;2;1;2;2
13783;11;65.38;13;1;2;2
13786;6;75.85;4;1;2;2
13795;8;111.76;6;1;3;1
13816;5;71.93;13;1;2;2
13820;19;73.68;4;1;2;2
13838;5;111.52;6;1;3;1
13844;9;76.66;13;1;2;2
13855;11;88.96;6;1;2;2
13865;9;126.74;6;1;3;1
13873;9;121.35;8;1;3;1
13887;4;60.18;4;1;2;2
13924;6;110.61;4;1;3;1
13926;19;31.15;13;2;1;1
13944;19;93.52;4;1;2;2
13945;5;62.34;13;1;2;2
13954;8;218.56;5;1;3;1
13965;3;21.65;4;2;1;1
13994;4;10.08;13;2;1;1
13995;18;58.68;4;1;2;2
13997;13;132.64;13;1;3;1
14003;11;371.43;4;1;3;1
14007;2;66.09;11;1;2;2
14010;2;108.8;4;1;3;1
14011;2;73.89;8;1;2;2
14018;11;25.76;13;2;1;1
14021;9;62.41;4;1;2;2
14023;2;316.42;1;1;3;1
14028;8;56.1;13;1;2;2
14029;2;38.41;13;2;1;1
14045;15;74.47;4;1;2;2
14053;9;116.44;1;1;3;1
14056;4;80.63;6;1;2;2
14090;5;39.3;9;2;1;1
14095;19;68.41;5;1;2;2
14097;11;34.01;13;2;1;1
15014;8;87.37;2;1;2;2
15020;9;107.8;4;1;3;1
15022;19;117.08;4;1;3;1
15024;6;64.64;13;1;2;2
15027;19;35.66;5;2;1;1
15030;2;41.12;13;2;1;1
15100;6;643;4;1;3;1
15103;19;89.49;4;1;2;2
15127;4;38.07;13;2;1;1
15144;11;82.86;13;1;2;2
15146;5;117.59;2;1;3;1
15152;9;149.31;4;1;3;1
15157;9;39.11;4;2;1;1
15163;11;20.39;13;2;1;1
15166;7;158.47;1;1;3;1
15182;11;5.26;13;2;1;1
15203;19;19.25;4;2;1;1
15230;11;64.94;13;1;2;2
15231;11;37.63;13;2;1;1
15248;5;45.25;13;2;1;1
15260;15;58.95;2;1;2;2
15262;15;109.56;4;1;3;1
15271;11;10.16;13;2;1;1
15304;11;74.43;13;1;2;2
15319;18;399;4;1;3;1
15320;11;90.97;5;1;2;2
15322;17;30.36;13;2;1;1
15326;19;12.72;2;2;1;1
15328;3;196.66;4;1;3;1
15331;11;508.65;1;1;3;1
15332;4;117.81;4;1;3;1
15343;15;91.51;4;1;2;2
15349;15;37.51;9;2;1;1
15353;15;28.62;13;2;1;1
15427;11;11.02;5;2;1;1
15446;11;79.54;13;1;2;2
15473;11;14.57;13;2;1;1
15475;11;173.25;2;1;3;1
15509;11;31.2;13;2;1;1
15524;6;25.66;13;2;1;1
15532;8;79;4;1;2;2
15539;3;198.88;1;1;3;1
15540;5;60.09;11;1;2;2
15541;2;419.61;2;1;3;1
15544;2;19.96;4;2;1;1
15545;4;75.56;4;1;2;2
15548;4;59.67;3;1;2;2
15549;3;53.93;13;1;2;2
15562;8;181.44;1;1;3;1
15563;15;100.9;8;1;3;1
15570;11;79.14;7;1;2;2
15572;6;107.65;4;1;3;1
15582;6;163.79;4;1;3;1
15583;6;230.39;12;1;3;1
15584;16;37.41;13;2;1;1
15585;2;131.96;4;1;3;1
15601;11;99.3;12;1;2;2
15605;6;34.45;6;2;1;1
15610;11;143.82;6;1;3;1
15611;8;164.9;1;1;3;1
15615;3;109.41;5;1;3;1
15616;3;92.54;1;1;2;2
15617;19;81.93;6;1;2;2
15618;2;63.13;4;1;2;2
15619;3;241.09;6;1;3;1
15620;5;22.45;4;2;1;1
15621;4;54.37;4;1;2;2
15622;19;75.34;4;1;2;2
15623;4;28.68;10;2;1;1
15624;8;28.38;6;2;1;1
